trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
152,False,"{'a': 0.7731080081816616, 'e': 0.7150421057009897}",30,7,-79.88965117472935,"{0: 16, 1: 1, 2: 4, 3: 1, 4: 1}",1
153,False,"{'a': 0.7731055898801023, 'e': 0.7068222210935675}",30,0,-39.40839924549429,"{0: 25, 1: 0, 2: 3, 3: 2, 4: 0}",0
154,False,"{'a': 0.7731032664015034, 'e': 0.6984652160025387}",20,0,-63.27200738380435,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
155,False,"{'a': 0.7731010340278035, 'e': 0.6899744811276125}",20,0,-20.131184410069572,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
156,False,"{'a': 0.7730988891867284, 'e': 0.6813537337890254}",25,6,-58.43524908466049,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 1}",1
157,False,"{'a': 0.7730968284460747, 'e': 0.6726070170677604}",20,0,-86.07358322405082,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
158,False,"{'a': 0.7730948485082179, 'e': 0.6637386974043527}",20,6,-105.6085347891269,"{0: 8, 1: 0, 2: 4, 3: 0, 4: 2}",1
159,False,"{'a': 0.7730929462048348, 'e': 0.6547534606063192}",30,0,-15.000692981164024,"{0: 23, 1: 4, 2: 3, 3: 0, 4: 0}",0
160,False,"{'a': 0.7730911184918343, 'e': 0.6456563062257954}",20,0,-76.56224207486751,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
161,False,"{'a': 0.7730893624444857, 'e': 0.6364525402815662}",30,0,-245.25871765583855,"{0: 20, 1: 1, 2: 2, 3: 2, 4: 5}",1
162,False,"{'a': 0.7730876752527385, 'e': 0.6271477663131955}",20,0,-27.927107192196516,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
163,False,"{'a': 0.7730860542167258, 'e': 0.6177478747692489}",20,14,-4.553727322143624,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
164,False,"{'a': 0.7730844967424444, 'e': 0.6082590307465143}",25,0,-50.6196260683963,"{0: 18, 1: 4, 2: 1, 3: 2, 4: 0}",0
165,False,"{'a': 0.7730830003376031, 'e': 0.5986876601124518}",20,14,-2.1649013034144895,"{0: 4, 1: 2, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.7730815626076349, 'e': 0.589040434058665}",25,13,-18.263885446191892,"{0: 9, 1: 2, 2: 0, 3: 1, 4: 0}",1
167,False,"{'a': 0.7730801812518652, 'e': 0.5793242521487495}",25,0,-38.80832015061341,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
168,False,"{'a': 0.7730788540598298, 'e': 0.569546223939229}",35,15,10.461347571305945,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",1
169,False,"{'a': 0.7730775789077385, 'e': 0.559713649267193}",25,0,-74.54783926333849,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
170,False,"{'a': 0.7730763537550759, 'e': 0.549833997312478}",20,13,12.309112682118034,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
